CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,1,19,15,39,1
2,1,21,15,81,4
3,0,20,16,6,1
4,0,23,16,77,2
5,0,31,17,40,1
6,0,22,17,76,2
7,0,35,18,6,5
8,0,23,18,94,2
9,1,64,19,3,5
10,0,30,19,72,2
11,1,67,19,14,5
12,0,35,19,99,2
13,0,58,20,15,5
14,0,24,20,77,2
15,1,37,20,13,5
16,1,22,20,79,4
17,0,35,21,35,1
18,1,20,21,66,4
19,1,52,23,29,5
20,0,35,23,98,2
21,1,35,24,35,1
22,1,25,24,73,4
23,0,46,25,5,5
24,1,31,25,73,4
25,0,54,28,14,5
26,1,29,28,82,4
27,0,45,28,32,1
28,1,35,28,61,1
29,0,40,29,31,1
30,0,23,29,87,2
31,1,60,30,4,5
32,0,21,30,73,2
33,1,53,33,4,5
34,1,18,33,92,4
35,0,49,33,14,5
36,0,21,33,81,2
37,0,42,34,17,5
38,0,30,34,73,2
39,0,36,37,26,1
40,0,20,37,75,2
41,0,65,38,35,5
42,1,24,38,92,4
43,1,48,39,36,0
44,0,31,39,61,2
45,0,49,39,28,5
46,0,24,39,65,2
47,0,50,40,55,1
48,0,27,40,47,2
49,0,29,40,42,1
50,0,31,40,42,1
51,0,49,42,52,1
52,1,33,42,60,4
53,0,31,43,54,2
54,1,59,43,60,0
55,0,50,43,45,1
56,1,47,43,41,0
57,0,51,44,50,1
58,1,69,44,46,0
59,0,27,46,51,2
60,1,53,46,46,0
61,1,70,46,56,0
62,1,19,46,55,4
63,0,67,47,52,5
64,0,54,47,59,1
65,1,63,48,51,0
66,1,18,48,59,4
67,0,43,48,50,1
68,0,68,48,48,5
69,1,19,48,59,4
70,0,32,48,47,1
71,1,70,49,55,0
72,0,47,49,42,1
73,0,60,50,49,5
74,0,60,50,56,1
75,1,59,54,47,0
76,1,26,54,54,3
77,0,45,54,53,1
78,1,40,54,48,0
79,0,23,54,52,4
80,0,49,54,42,1
81,1,57,54,51,0
82,1,38,54,55,0
83,1,67,54,41,0
84,0,46,54,44,1
85,0,21,54,57,4
86,1,48,54,46,0
87,0,55,57,58,1
88,0,22,57,55,4
89,0,34,58,60,4
90,0,50,58,46,1
91,0,68,59,55,5
92,1,18,59,41,3
93,1,48,60,49,0
94,0,40,60,40,1
95,0,32,60,42,1
96,1,24,60,52,3
97,0,47,60,47,1
98,0,27,60,50,4
99,1,48,61,42,0
100,1,20,61,49,3
101,0,23,62,41,4
102,0,49,62,48,1
103,1,67,62,59,0
104,1,26,62,55,3
105,1,49,62,56,0
106,0,21,62,42,4
107,0,66,63,50,5
108,1,54,63,46,0
109,1,68,63,43,0
110,1,66,63,48,0
111,1,65,63,52,0
112,0,19,63,54,4
113,0,38,64,42,1
114,1,19,64,46,3
115,0,18,65,48,4
116,0,19,65,50,4
117,0,63,65,43,5
118,0,49,65,59,1
119,0,51,67,43,1
120,0,50,67,57,1
121,1,27,67,56,3
122,0,38,67,40,1
123,0,40,69,58,1
124,1,39,69,91,3
125,0,23,70,29,4
126,0,31,70,77,4
127,1,43,71,35,0
128,1,40,71,95,3
129,1,59,71,11,0
130,1,38,71,75,3
131,1,47,71,9,0
132,1,39,71,75,3
133,0,25,72,34,4
134,0,31,72,71,4
135,1,20,73,5,0
136,0,29,73,88,4
137,0,44,73,7,5
138,1,32,73,73,3
139,1,19,74,10,0
140,0,35,74,72,4
141,0,57,75,5,5
142,1,32,75,93,3
143,0,28,76,40,4
144,0,32,76,87,4
145,1,25,77,12,0
146,1,28,77,97,3
147,1,48,77,36,0
148,0,32,77,74,4
149,0,34,78,22,1
150,1,34,78,90,3
151,1,43,78,17,0
152,1,39,78,88,3
153,0,44,78,20,1
154,0,38,78,76,4
155,0,47,78,16,5
156,0,27,78,89,4
157,1,37,78,1,0
158,0,30,78,78,4
159,1,34,78,1,0
160,0,30,78,73,4
161,0,56,79,35,0
162,0,29,79,83,4
163,1,19,81,5,0
164,0,31,81,93,4
165,1,50,85,26,0
166,0,36,85,75,4
167,1,42,86,20,0
168,0,33,86,95,4
169,0,36,87,27,1
170,1,32,87,63,3
171,1,40,87,13,0
172,1,28,87,75,3
173,1,36,87,10,0
174,1,36,87,92,3
175,0,52,88,13,0
176,0,30,88,86,4
177,1,58,88,15,0
178,1,27,88,69,3
179,1,59,93,14,0
180,1,35,93,90,3
181,0,37,97,32,0
182,0,32,97,86,4
183,1,46,98,15,0
184,0,29,98,88,4
185,0,41,99,39,0
186,1,30,99,97,3
187,0,54,101,24,0
188,1,28,101,68,3
189,0,41,103,17,0
190,0,36,103,85,3
191,0,34,103,23,0
192,0,32,103,69,3
193,1,33,113,8,0
194,0,38,113,91,3
195,0,47,120,16,0
196,0,35,120,79,3
197,0,45,126,28,0
198,1,32,126,74,3
199,1,32,137,18,3
200,1,30,137,83,3
